 Generated on 02-Apr-2026 at 11:55:37 using ROSCO-v2.6.0
                Time          WE_Cp                    WE_b                     WE_w                     WE_t                     WE_Vm                    WE_Vt                    WE_Vw                    WE_lambda                PC_PICommand             GenSpeedF                RotSpeedF                NacIMU_FA_AccF           FA_AccF                  Fl_PitCom                PC_MinPit                axisTilt_1P              axisYaw_1P               axisTilt_2P              axisYaw_2P               YawRateCom               NacHeadingTarge          NacVaneOffset            Yaw_err                  YawState                 FF_PitchRate             REWS                     REWS_f                   REWS_b                   GenTq                    VS_State                 PltFomPtchRate           PltFomPtchRateF
               (sec)          [-]                      [-]                      [-]                      [-]                      [m/s]                    [m/s]                    [m/s]                    [rad]                    [rad]                    [rad/s]                  [rad/s]                  [rad/s]                  [m/s]                    [rad]                    [rad]                                                                                                                        [rad/s]                  [rad]                    [rad]                    [rad]                                             [rad/s]                  [m/s]                    [m/s]                    [m/s]                    [Nm]                                              [rad/s]                  [rad/s]        
             0.36250              3.18750E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20002E+01              9.41509E-06              1.20002E+01              7.98069E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.37500              3.18750E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20002E+01              1.06759E-05              1.20002E+01              7.98068E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.38750              3.18750E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20002E+01              1.20578E-05              1.20002E+01              7.98067E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.40000              3.18750E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20002E+01              1.35681E-05              1.20003E+01              7.98065E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.41250              3.18750E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20003E+01              1.52142E-05              1.20003E+01              7.98064E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.42500              3.18749E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20003E+01              1.70038E-05              1.20003E+01              7.98062E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.43750              3.18749E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20003E+01              1.89448E-05              1.20003E+01              7.98060E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.45000              3.18749E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20003E+01              2.10450E-05              1.20004E+01              7.98058E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.46250              3.18749E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20004E+01              2.33127E-05              1.20004E+01              7.98057E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.47500              3.18749E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20004E+01              2.57561E-05              1.20004E+01              7.98055E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.48750              3.18749E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20004E+01              2.83838E-05              1.20005E+01              7.98052E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.50000              3.18749E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20005E+01              3.12042E-05              1.20005E+01              7.98050E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.51250              3.18748E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20005E+01              3.42260E-05              1.20005E+01              7.98048E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.52500              3.18748E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20005E+01              3.74582E-05              1.20006E+01              7.98045E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
